Offset(P)            #Ptr   #Hnd Access Name
0x000000001e04b070      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e04c070      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\FirewallAPI.dll.mui
0x000000001e059dd0      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000001e059f20      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000001e05ca60     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\comsvcs.dll
0x000000001e05df20      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\txflog.dll
0x000000001e05e6b0     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\msdtcVSp1res.dll.mui
0x000000001e05f920     19      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Resource-Exhaustion-Detector%4Operational.evtx
0x000000001e073b60      1      1 RW-r-d \Device\HarddiskVolume1\Windows\System32\Msdtc\Trace\dtctrace.log
0x000000001e074f20      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e07cbc0     19      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx
0x000000001e07e540     15      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\Msdtc\MSDTC.LOG
0x000000001e0811b0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\advapi32.dll.mui
0x000000001e0963e0     18      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx
0x000000001e097d00      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001e0982a0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e09f070     18      1 RW-r-- \Device\HarddiskVolume1\Windows\Registration\{02D4B3F1-FD88-11D1-960D-00805FC79235}.{046289CF-8708-41CA-8959-161336D6A037}.crmlog
0x000000001e0a37a0     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e0bb1f0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catsrvut.dll
0x000000001e0c1420      1      1 ------ \Device\Afd\Endpoint
0x000000001e0c33b0     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msdtcVSp1res.dll
0x000000001e0ea5c0     18      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e0eb070      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db
0x000000001e0ee740      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001e0ee990     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\NapiNSP.dll
0x000000001e0f1240     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\pnrpnsp.dll
0x000000001e0f1390     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\winrnr.dll
0x000000001e0f5070      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catsrv.dll
0x000000001e0f5810      5      0 R--r-d \Device\HarddiskVolume1\Program Files\Common Files\VMware\Drivers\vss\VCBSnapshotProvider.dll
0x000000001e0f9070      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e0f9400      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e0fb390     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mfcsubs.dll
0x000000001e0fca10     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\pnidui.dll.mui
0x000000001e0fe420      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e100620      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001e100f20     10      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\iconv.dll
0x000000001e101360     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\fltLib.dll
0x000000001e101f20     19      1 -W-rw- \Device\HarddiskVolume1\Windows\Temp\vmware-vmvss-SYSTEM.log
0x000000001e102130      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catsrvps.dll
0x000000001e103870     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\VSSVC.exe
0x000000001e1048a0     12      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\gthread-2.0.dll
0x000000001e10ee40      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000001e10fe10     16      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\VSSVC.exe.mui
0x000000001e110430     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\virtdisk.dll
0x000000001e1128a0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\setupapi.dll.mui
0x000000001e1152c0      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e1178c0     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\vss_ps.dll
0x000000001e117c70      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000001e119070      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\vsstrace.dll.mui
0x000000001e119300      1      1 ------ \Device\NamedPipe\lsass
0x000000001e142f20      3      1 R--rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu
0x000000001e144f20      1      1 ------ \Device\Afd\Endpoint
0x000000001e147070     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wwapi.dll
0x000000001e147650      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000001e148e60      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e14a070     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WmiApRpl.dll
0x000000001e155bd0     10      0 R--r-d \Device\HarddiskVolume1\Program Files\7-Zip\7-zip.dll
0x000000001e155ea0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e156ea0      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000001e157540     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e159070     15      0 R--r-d \Device\HarddiskVolume1\Program Files\Windows NT\Accessories\en-US\wordpad.exe.mui
0x000000001e159530      8      0 R--r-d \Device\HarddiskVolume1\Program Files\Windows NT\Accessories\wordpad.exe
0x000000001e15abb0     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\AltTab.dll
0x000000001e15add0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\imageres.dll
0x000000001e15bb30     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\wer.dll.mui
0x000000001e15c070     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\AltTab.dll.mui
0x000000001e15d2a0      1      1 R--r-- \Device\HarddiskVolume1\Windows\System32\spool\drivers\x64\3\mxdwdui.BUD
0x000000001e15ec80      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e15edd0     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ieframe.dll
0x000000001e15ff20     15      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e160070     17      1 RW-rw- \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat
0x000000001e1649d0     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\oleaccrc.dll
0x000000001e165b30      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mfc42u.dll
0x000000001e16fdd0     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drprov.dll
0x000000001e16ff20     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\mpr.dll.mui
0x000000001e170070      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\oleacc.dll
0x000000001e171500     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\cmd.exe.mui
0x000000001e171c50      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e171f20     13      0 R--r-d \Device\HarddiskVolume1\Program Files\Internet Explorer\ieproxy.dll
0x000000001e1743b0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\davhlpr.dll
0x000000001e174d60      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\stobject.dll
0x000000001e175f20     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\davclnt.dll
0x000000001e1761b0     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\batmeter.dll
0x000000001e17add0     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\stobject.dll.mui
0x000000001e17af20      2      1 ------ \Device\NamedPipe\wkssvc
0x000000001e17bb60     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\EhStorAPI.dll
0x000000001e17bcb0      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\StructuredQuery.dll
0x000000001e17c200      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e17c740      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001e17e070      2      1 ------ \Device\Afd\Endpoint
0x000000001e17e8f0      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e17f440     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\sndvolsso.dll.mui
0x000000001e17f650     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wpdshext.dll
0x000000001e17fb80      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e189400      4      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\segoesc.ttf
0x000000001e189770     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\netshell.dll
0x000000001e18b880     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\WPDShServiceObj.dll
0x000000001e192070      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e1928a0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\PortableDeviceTypes.dll
0x000000001e193070      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000001e193960      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msidle.dll
0x000000001e197070      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\user32.dll.mui
0x000000001e1976c0     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SearchFolder.dll
0x000000001e199b30     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\prnfldr.dll
0x000000001e19b660      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mssrch.dll
0x000000001e1a1070      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mssprxy.dll
0x000000001e1a3420      2      1 R--rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x000000001e1a3e20      2      1 R--rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x000000001e1a4480     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\tquery.dll.mui
0x000000001e1a48a0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e1a4b40      4      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000001e1a5840     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\tquery.dll.mui
0x000000001e1a6210      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e1b4120     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\ESENT.dll.mui
0x000000001e1b4490     19      1 -W-r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.4.gthr
0x000000001e1b48f0      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e1b4c50     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\QUTIL.DLL
0x000000001e1b4ea0     17      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000001e1b5070      1      1 -W-r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.4.Crwl
0x000000001e1b86b0     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\netman.dll
0x000000001e1b9700     19      1 RWD--- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\tmp.edb
0x000000001e1b9a60      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\pnidui.dll
0x000000001e1ba430     17      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.ci
0x000000001e1ba680      1      1 RW---- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000001e1bc240      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001e1be360     15      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x000000001e1bf760      1      1 RW---- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000001e1cb070      4      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000
0x000000001e1cc920      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e1cd070     16      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.dir
0x000000001e1ce6c0     16      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.wid
0x000000001e1cf270     16      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.wid
0x000000001e1cfaa0     16      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.wid
0x000000001e1cfea0     17      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.ci
0x000000001e1d02c0     17      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wsb
0x000000001e1d0640     16      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.dir
0x000000001e1d0f20     16      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.dir
0x000000001e1d1070     17      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.ci
0x000000001e1d2360      2      1 ------ \Device\NamedPipe\lsass
0x000000001e1d26d0     16      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid
0x000000001e1d2960     16      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.wid
0x000000001e1d2b70     17      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.ci
0x000000001e1d3bc0      4      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000
0x000000001e1d4070      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\rasdlg.dll
0x000000001e1d4600     16      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.dir
0x000000001e1d4a80     16      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x000000001e1d51f0     16      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\rasdlg.dll.mui
0x000000001e1d6f20      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\shell32.dll.mui
0x000000001e1d8700      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\vsstrace.dll.mui
0x000000001e1dbf20      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\srchadmin.dll
0x000000001e1e4740      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e1e4ac0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e1e84b0      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wlanapi.dll
0x000000001e1e9900      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\QAGENT.DLL
0x000000001e1eb3b0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wlanutil.dll
0x000000001e1ed4f0     18      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NetworkAccessProtection%4Operational.evtx
0x000000001e1edc30      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\hgcpl.dll
0x000000001e1f4210      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e1f43b0      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ActionCenter.dll
0x000000001e1f4dd0     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\bthprops.cpl.mui
0x000000001e1f4f20      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e1f7070      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001e1f8610      1      1 RW-rwd \Device\HarddiskVolume1\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000001e1f8760      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001e2014f0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cryptsvc.dll
0x000000001e202260     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\resutils.dll
